ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
1,43,1,0,1,0,291,0,0,0,9,5,150,2,-1,0,0.0
2,42,2,2,2,0,5076,0,0,0,7,4,99,1,251,2,0.0
3,47,3,0,0,0,104,0,1,0,14,7,77,2,-1,0,0.0
4,28,1,1,0,0,-994,0,1,0,18,7,174,2,-1,0,0.0
5,42,2,2,0,0,2974,0,0,0,21,5,187,5,-1,0,0.0
6,56,4,2,0,0,450,1,0,0,9,6,47,1,-1,0,0.0
7,32,1,1,1,0,1716,1,0,0,21,11,157,4,-1,0,0.0
8,33,1,1,1,0,-359,1,0,1,29,8,59,2,-1,0,0.0
9,32,2,1,0,0,309,0,1,0,25,8,99,3,-1,0,0.0
10,55,1,0,1,0,4777,1,1,0,20,6,12,3,-1,0,0.0
11,54,2,0,0,0,1076,1,0,0,28,1,338,1,-1,0,0.0
12,59,5,0,0,0,1035,0,1,0,1,4,126,2,239,1,0.0
13,48,4,0,0,0,473,1,1,0,6,8,198,2,-1,0,0.0
14,54,5,0,2,0,0,0,0,0,11,7,159,2,-1,0,0.0
15,53,1,0,1,0,8627,1,0,0,10,2,66,1,-1,0,0.0
16,30,4,1,1,0,3516,0,0,0,29,5,447,4,-1,0,0.0
17,39,2,2,1,0,665,0,0,0,8,5,133,8,-1,0,0.0
18,39,2,0,0,0,564,1,0,0,21,8,86,4,-1,0,0.0
19,59,5,0,0,0,1449,0,1,0,23,7,437,2,-1,0,0.0
20,28,10,1,0,0,305,1,0,0,7,7,625,1,-1,0,0.0
21,31,1,1,1,0,3967,0,0,0,21,11,859,1,182,1,0.0
22,28,1,0,1,0,3,0,0,0,7,5,122,5,-1,0,0.0
23,49,1,2,1,0,169,0,0,0,28,5,174,1,-1,0,0.0
24,25,0,0,0,0,-507,0,1,0,4,6,404,2,-1,0,0.0
25,44,2,2,0,0,399,0,0,0,16,5,148,9,-1,0,0.0
26,43,0,0,0,0,664,0,0,0,12,6,354,1,-1,0,0.0
27,38,0,0,0,0,748,0,0,0,31,8,98,3,-1,0,0.0
28,35,1,0,1,0,787,1,0,0,20,11,49,1,-1,0,0.0
29,31,3,0,1,0,1144,0,1,0,17,11,89,1,-1,0,0.0
30,40,1,1,2,0,858,0,0,0,21,5,173,1,-1,0,0.0
31,29,3,1,0,0,171,0,0,0,11,6,83,10,-1,0,0.0
32,41,1,0,1,0,1143,0,0,0,5,2,134,1,8,2,0.0
33,31,3,0,0,0,-106,0,0,0,3,2,258,4,-1,0,0.0
34,28,0,1,0,0,6307,0,0,0,28,5,615,1,-1,0,0.0
35,43,1,0,1,0,430,1,0,0,17,11,44,2,-1,0,0.0
36,47,4,2,0,0,164,1,0,0,5,5,212,1,-1,0,0.0
37,59,1,0,0,0,544,1,0,0,20,6,67,2,-1,0,0.0
38,43,4,0,0,0,1450,0,0,0,4,6,227,2,-1,0,0.0
39,25,1,1,1,0,1129,1,0,0,8,7,452,2,-1,0,0.0
40,55,0,0,0,0,-157,1,0,0,6,2,354,5,-1,0,0.0
42,57,5,0,0,0,0,0,0,0,5,5,127,1,363,4,0.0
43,48,0,0,2,0,8,1,0,0,20,8,43,2,-1,0,0.0
44,48,0,0,0,0,794,1,0,0,11,8,135,6,-1,0,0.0
45,27,0,1,1,0,1372,1,0,0,21,7,230,1,-1,0,0.0
46,46,4,2,0,0,778,0,0,0,19,5,579,1,-1,0,0.0
47,54,1,0,1,0,154,1,0,0,9,5,155,3,-1,0,0.0
48,57,2,0,0,0,0,1,0,0,13,5,44,1,-1,0,0.0
49,50,2,0,0,0,4,1,0,0,10,7,200,5,-1,0,0.0
50,30,0,0,0,0,717,0,0,0,8,5,42,1,-1,0,0.0
51,33,1,1,1,0,896,0,0,0,19,11,577,1,-1,0,0.0
52,53,7,0,0,0,7,1,0,0,20,11,68,1,-1,0,0.0
53,36,1,1,1,0,86,1,0,0,25,8,48,4,-1,0,0.0
54,25,2,1,0,0,1135,0,0,0,12,5,396,3,-1,0,0.0
55,31,0,0,0,0,1243,0,0,0,21,5,32,1,-1,0,0.0
56,61,5,0,2,0,3738,1,0,1,6,2,188,1,-1,0,0.0
57,61,1,1,1,0,2,1,0,0,20,4,122,3,-1,0,0.0
58,48,1,0,0,0,2204,0,0,0,12,5,45,1,-1,0,0.0
59,54,2,0,0,0,-939,0,0,0,29,5,202,1,-1,0,0.0
60,35,2,1,1,0,1924,0,0,0,20,4,285,1,-1,0,0.0
61,21,0,0,2,1,-426,1,0,0,4,6,139,2,-1,0,0.0
62,56,1,0,1,0,382,1,0,0,27,6,244,2,-1,0,0.0
63,53,1,2,0,0,112,1,1,0,11,8,246,3,-1,0,0.0
64,50,4,2,0,1,-210,1,1,0,21,8,153,7,-1,0,0.0
65,24,0,1,0,0,76,0,0,0,19,5,345,1,-1,0,0.0
66,43,0,0,2,0,-67,0,0,1,15,5,137,7,371,1,0.0
67,33,4,1,0,0,239,0,0,0,15,5,101,2,-1,0,0.0
68,26,2,2,1,0,278,0,1,0,7,7,1467,1,-1,0,0.0
69,33,0,1,2,0,777,1,0,0,7,7,263,1,-1,0,0.0
70,55,1,2,1,0,1633,1,0,1,2,6,128,1,-1,0,0.0
71,29,9,0,0,0,85,0,0,0,14,7,76,2,-1,0,0.0
72,30,1,0,1,0,451,1,0,0,5,5,173,1,274,3,0.0
